epoch,loss,val_loss,val_x_pred_categorical_accuracy,val_x_pred_loss,val_x_pred_vae_anneal_metric,val_z_mean_log_var_loss,x_pred_categorical_accuracy,x_pred_loss,x_pred_vae_anneal_metric,z_mean_log_var_loss
0,0.8154313450847563,4.731132273722177,0.7064707911375797,4.731131796885019,3.7017207432654686e-07,0.9335796902276049,0.7608561786942724,0.8154309396326107,3.7017207432654686e-07,1.098870820439578
1,0.4841729553143406,3.9968548386988014,0.7520265503965243,3.9968543618616432,6.168544928186748e-07,0.6988297351683029,0.8492263271057626,0.48417241346762463,6.168544928186748e-07,0.8783769843820639
2,0.34155006525156406,3.273991322276568,0.7968745023915262,3.27399084543941,1.0279256912326673e-06,0.4771990089705496,0.8911644152414256,0.34154942633394847,1.0279256912326673e-06,0.6216476496386434
3,0.27322154995399134,2.738950637855915,0.8300695425332195,2.738949922600178,1.7129339084931416e-06,0.39268194936742684,0.9116802064974879,0.2732207744326369,1.7129339084931416e-06,0.4526603904284499
4,0.20879378775108537,2.5358595137644295,0.842669754016279,2.535858560090113,2.8544293400045717e-06,0.33618552139913194,0.9318647892671914,0.2087927787391608,2.8544293400045717e-06,0.3534512323218072
5,0.16810274137113954,1.7586511680574128,0.8908897156667228,1.7586499777707187,4.756610906042624e-06,0.2457651433469069,0.9447393709859575,0.16810138174267314,4.756610906042624e-06,0.2858313126787585
6,0.1439741558276623,1.4852683453848867,0.9078509967134456,1.485266478374751,7.92639002611395e-06,0.2348651967265389,0.952338507073706,0.1439721072233841,7.92639002611395e-06,0.25845323185081365
7,0.1259448519713888,1.6105206632854963,0.9000801672839155,1.6105174602884236,1.3208464224589989e-05,0.24243478078131725,0.9583029199824582,0.1259417831437565,1.3208464224589989e-05,0.232334656980786
8,0.10274240161213294,0.9179908491746344,0.9430458702222265,0.9179868240549107,2.2010388420312665e-05,0.18275754740743927,0.9658114823446322,0.10273759885325584,2.2010388420312665e-05,0.21820457983324865
9,0.08791277448634698,0.8497087428666125,0.9472823462100944,0.8497028573594912,3.66775639122352e-05,0.16053870628879527,0.970698977842015,0.08790596590023372,3.66775639122352e-05,0.18563328623135794
10,0.07674758236673292,0.7555742402269383,0.9531228274408013,0.7555654247601827,6.111799302743748e-05,0.14425366770739506,0.9744439387776622,0.07673773855171734,6.111799302743748e-05,0.16106315759512094
11,0.06987181223054605,0.6221931760359292,0.9613987086999296,0.6221793864411537,0.0001018428520183079,0.13537648854532627,0.9768047276873859,0.06985703501003235,0.0001018428520183079,0.1450980984046846
12,0.06487586899571109,0.5364840932265676,0.9667164361236071,0.5364623631190772,0.00016969938587862998,0.1280484776003192,0.9785336996316241,0.06485200912212134,0.00016969938587862998,0.1406011847148512
13,0.060849904319598795,0.49428161692739736,0.9693358871671889,0.4942472321216506,0.0002827550342772156,0.12160707603801381,0.9798846361946351,0.060812194910630425,0.0002827550342772156,0.13336422257146294
14,0.051530961528763485,0.4963872741268139,0.9692056157974281,0.4963361852698856,0.0004710941284429282,0.10844623459258465,0.9829467207377443,0.05147473682042322,0.0004710941284429282,0.11934923253020566
15,0.051918664446193676,0.45185883057237874,0.9719700307557078,0.45177905306671606,0.0007847847300581634,0.10165536776185036,0.9829255163100648,0.051832507716377825,0.0007847847300581634,0.10978388543680502
16,0.05194397392310934,0.648433939074025,0.9597780045234796,0.6482966673193555,0.0013070814311504364,0.10502205461715207,0.9829407049189252,0.05180713013211942,0.0013070814311504364,0.10469416012712437
17,0.04391010721924765,0.42634269715559603,0.9735606731188418,0.42615170551068854,0.002176224486902356,0.08776268148512552,0.9856000580458344,0.043695430574098845,0.002176224486902356,0.09864637408779954
18,0.04611835612014463,0.376979386716178,0.9766290537034622,0.37668984616645657,0.0036212082486599684,0.0799570760191089,0.9848750698840866,0.04579842287120459,0.0036212082486599684,0.08834987525304738
19,0.04531518926301209,0.3482454250557254,0.9784207816677865,0.34780524099113963,0.00601985352113843,0.07312205697249885,0.9852587128542301,0.04483709762846567,0.00601985352113843,0.0794191422847668
20,0.04005919135207543,0.33604611764953596,0.9791950595499289,0.33533613406347507,0.009991399943828583,0.07105958296193017,0.9870565701642109,0.03930998131097334,0.009991399943828583,0.07498548939146399
21,0.036869426698730876,0.31462762798323773,0.9805398586422506,0.31366056760754246,0.016539542004466057,0.0584695932427139,0.988202261931437,0.035787158667129254,0.016539542004466057,0.065435188180824
22,0.03678138104488614,0.2990247015700196,0.9815369320638252,0.297589633651454,0.027261018753051758,0.052641790510729106,0.9884012316064443,0.035231667759544325,0.027261018753051758,0.056847225238790274
23,0.03777057470848961,0.2691726343649806,0.9834295339656599,0.26708447444017486,0.04461720213294029,0.04680167883634567,0.9883329394089915,0.035432590438384544,0.04461720213294029,0.05240096151828766
24,0.04186342653161117,0.2723443014453156,0.9833169666805652,0.2688880820918565,0.07220327854156494,0.047867902996714666,0.987490196029903,0.03809078208734017,0.07220327854156494,0.05225032047775942
25,0.04831101366144629,0.8502164799155612,0.947643432954345,0.8438720995127552,0.1147959753870964,0.05526656205907012,0.9862605429713074,0.04226720487047353,0.1147959753870964,0.052648263822891686
26,0.052052070752229666,0.3579661170340548,0.9783409496750495,0.34909199298632265,0.17770178616046906,0.04993829027646118,0.9859441519787578,0.04275611605953293,0.17770178616046906,0.05231210587735527
27,0.04843878386262961,0.27340234778445177,0.9836072370861516,0.26421485818696744,0.26476824283599854,0.03470011751609619,0.9877652936875988,0.037111260663092574,0.26476824283599854,0.04278278663536928
