epoch,loss,reg_prop_pred_loss,val_loss,val_reg_prop_pred_loss,val_x_pred_categorical_accuracy,val_x_pred_loss,val_x_pred_vae_anneal_metric,val_z_mean_log_var_loss,x_pred_categorical_accuracy,x_pred_loss,x_pred_vae_anneal_metric,z_mean_log_var_loss
0,1.2707852803562816,1.1528237972800668,4.459142572739545,0.8800367967170828,0.5012904436272734,8.038248146281523,3.7017207432654686e-07,0.9243759285001194,0.5614378866555757,1.3887464125689708,3.7017207432654686e-07,0.9877868224131433
1,0.8810678760668165,0.9220780452811405,3.365405352676616,0.8186380030477748,0.6331942326882306,5.912172233357149,6.168544928186748e-07,0.9102825259461123,0.7257446488855701,0.840057101786921,6.168544928186748e-07,1.0091704965422028
2,0.7401249034232215,0.8484837945158544,2.917906750650967,0.7768057155258515,0.6861287495669197,5.059006845249849,1.0279256912326673e-06,1.0196949690580368,0.7846598841838146,0.6317649292514512,1.0279256912326673e-06,1.0519326940963143
3,0.6702769672204005,0.8048383086723717,2.7023545153000774,0.7327331278254005,0.7101410662426668,4.671973985784194,1.7129339084931416e-06,1.0904700124964994,0.8146835059711808,0.5357136704321754,1.7129339084931416e-06,1.1405741907656193
4,0.6250104046377697,0.768102027279766,2.490864238318275,0.698929150314892,0.7342864722013474,4.282795993720784,2.8544293400045717e-06,1.1871582550161026,0.8328848519411526,0.48191532424013866,2.8544293400045717e-06,1.2111980836642415
5,0.5852840270749048,0.7394827724875588,2.2698294555439666,0.6689028976594701,0.7598506624207777,3.8707500240382027,4.756610906042624e-06,1.2563254745567547,0.8503443652665928,0.43107912968844175,4.756610906042624e-06,1.2936498458056074
6,0.5530051718907136,0.7131452412393532,2.164716941468856,0.6425756952341866,0.7712603185106727,3.6868481390616474,7.92639002611395e-06,1.266346242497949,0.8627125823772267,0.3928547482447405,7.92639002611395e-06,1.3062430604508048
7,0.5240075020609718,0.6943202334407129,1.9973961430437424,0.6263560635202071,0.7910162990584093,3.3684193526997284,1.3208464224589989e-05,1.2765549561556648,0.8755573699937055,0.3536774536692782,1.3208464224589989e-05,1.3110699504613876
8,0.5023003881307024,0.6757467088142508,1.8802199574077831,0.6041633565636242,0.804179822697359,3.156248453785391,2.2010388420312665e-05,1.27677420482916,0.8834841613118586,0.32882507890462875,2.2010388420312665e-05,1.31703210641679
9,0.48386778108971684,0.6607764304468506,1.8197231801117169,0.5919758835259605,0.8109315020196578,3.047424148110782,3.66775639122352e-05,1.2626124357475954,0.8905521718491065,0.3069110349997094,3.66775639122352e-05,1.31135923082107
10,0.4676484856264372,0.6470929242082333,1.7203879619345945,0.5750712506911334,0.822210447753177,2.865629059426925,6.111799302743748e-05,1.2374317856395947,0.896485769729081,0.2881251275294313,6.111799302743748e-05,1.29125715145155
11,0.453056540732321,0.6344117587922435,1.6563421347562004,0.5593565601636382,0.8291831463575363,2.7532041248153236,0.0001018428520183079,1.2134795223965364,0.9018633257793752,0.2715728829957937,0.0001018428520183079,1.2611778317705582
