epoch,loss,reg_prop_pred_loss,val_loss,val_reg_prop_pred_loss,val_x_pred_categorical_accuracy,val_x_pred_loss,val_x_pred_vae_anneal_metric,val_z_mean_log_var_loss,x_pred_categorical_accuracy,x_pred_loss,x_pred_vae_anneal_metric,z_mean_log_var_loss
0,0.7682329611089881,0.6221280789723361,2.7916062104440953,0.37996437057961513,0.6771790855122308,5.203247574994164,3.7017207432654686e-07,1.047981541522228,0.7338811496630709,0.9143374226775869,3.7017207432654686e-07,1.1421114254171831
1,0.46365525895564996,0.30958736194214587,2.5727875981017623,0.26862912151935325,0.6974231957519141,4.8769456104640545,6.168544928186748e-07,0.9051365974175669,0.8136935214733362,0.6177225351236936,6.168544928186748e-07,1.0061881326604256
2,0.36360464938172266,0.2441326639368006,2.291742514519796,0.20417674919114495,0.7282983743361313,4.379307329219623,1.0279256912326673e-06,0.7791613296870767,0.8458162141542365,0.48307572543282673,1.0279256912326673e-06,0.8856109988370371
3,0.3102994823687848,0.21931138437691494,2.0888818076057154,0.16925307107667853,0.751302773500011,4.0085094897416385,1.7129339084931416e-06,0.6541324340514023,0.8676509309955853,0.4012862726961416,1.7129339084931416e-06,0.7634528101409052
4,0.2709703058705326,0.2053412716029044,1.8718375132901826,0.17582468840762647,0.7786422815636127,3.567848678923001,2.8544293400045717e-06,0.5631259301283064,0.8878348469250781,0.3365975152595393,2.8544293400045717e-06,0.6392797306119574
5,0.24207513410196205,0.19528983790799068,1.7752755662820634,0.1559814096693575,0.7893939984105799,3.3945675801186668,4.756610906042624e-06,0.45280492131727457,0.9029807584709204,0.2888578877686874,4.756610906042624e-06,0.5344844860993839
6,0.21778077325826725,0.1868492853008241,1.5748510447731854,0.1996760465150332,0.816974479786671,2.9500228279698506,7.92639002611395e-06,0.4064897464139618,0.9161817565838303,0.24870872049194376,7.92639002611395e-06,0.44670247540953484
7,0.19756098718828818,0.18079457077328404,1.3423751827574124,0.16160962420658473,0.8434593995122144,2.523136354710934,1.3208464224589989e-05,0.33254747342889324,0.9277178028784239,0.21432235994091484,1.3208464224589989e-05,0.3818543932588721
8,0.18042190673867572,0.175280746909437,1.228462863142473,0.15459814129302102,0.8571588966968285,2.3023211225105897,2.2010388420312665e-05,0.2931313956305929,0.9373897833739078,0.18555574588000243,2.2010388420312665e-05,0.33259571553340117
9,0.17247356712479758,0.17015219468318246,1.0968155129982606,0.15226411656306607,0.8733496422315166,2.041357181368083,3.66775639122352e-05,0.26534733915851066,0.9410009458600653,0.17478414146956253,3.66775639122352e-05,0.29441461271613184
10,0.15944665758617507,0.16734649472403892,0.9670430830795399,0.20089970050501998,0.8924701209485966,1.7331715117405802,6.111799302743748e-05,0.24460432694776216,0.9488869890002632,0.15153027482373096,6.111799302743748e-05,0.2707142380080567
11,0.14739141953445892,0.16332090081041264,0.8533317459760791,0.14264520083683252,0.9029661630191942,1.5639952986779875,0.0001018428520183079,0.2257566643457343,0.9555682933436886,0.1314369668188563,0.0001018428520183079,0.24519329649205143
12,0.14055093332508764,0.1604781927176829,0.8550256486356693,0.14450985595692684,0.9028729169908232,1.5655036329352943,0.00016969938587862998,0.22284653891612144,0.9593228347786829,0.12058557541580192,0.00016969938587862998,0.22450891349824192
13,0.13403753581587513,0.15792985380130964,0.7184869903717598,0.12140120788864846,0.9183821943554565,1.3155182408590387,0.0002827550342772156,0.1928870781277218,0.9628747297029425,0.11008550235148087,0.0002827550342772156,0.21119128827486014
14,0.1273167343434046,0.15443236243647476,0.6789221815819287,0.14838874601099614,0.9249682465608973,1.2093689989869612,0.0004710941284429282,0.18385918460188122,0.9662214549498547,0.10010935484589548,0.0004710941284429282,0.19476303371199727
15,0.12219439091618624,0.15157329102574763,0.695568188263552,0.15291022063389312,0.9231855425521405,1.2380920439741037,0.0007847847300581634,0.17089061286762683,0.9687220560566545,0.09267315191170691,0.0007847847300581634,0.1813728679318981
16,0.12017035697619313,0.14980307251625882,0.6189170240485755,0.19479193554742494,0.9353005263927209,1.0428323676116276,0.0013070814311504364,0.160472057705378,0.9702438152329476,0.09031428887968806,0.0013070814311504364,0.1708787503831288
17,0.1150354882468079,0.1476643767029603,0.5284347812624743,0.11095171932974,0.9413331181463533,0.9455984604619715,0.002176224486902356,0.14676140553324762,0.9723097860861482,0.08206245719190061,0.002176224486902356,0.15813739869716395
18,0.1123123032925386,0.14573129852636985,0.5346554854925532,0.142355770525271,0.942522258654128,0.9264210406011039,0.0036212082486599684,0.1475093705158164,0.9735810694323259,0.07835140314016609,0.0036212082486599684,0.14964754232911684
19,0.1083904848360764,0.14330762690605425,0.4904703112849354,0.1492389388871889,0.948446232472023,0.8309432685810284,0.00601985352113843,0.12598616488441064,0.9755428401513111,0.07264806801832409,0.00601985352113843,0.13709217836870377
20,0.10598887665694261,0.14258299572793623,0.4640989699502931,0.13473528547443614,0.9508418888941298,0.7923352078799784,0.009991399943828583,0.1128416579135143,0.9770722481069387,0.06816349846264838,0.009991399943828583,0.12323186764703567
21,0.10709663096208062,0.14116020788894082,0.5448350234188303,0.2365073393078616,0.9471869055372085,0.8512465623173401,0.016539542004466057,0.1158527113551641,0.9761221100910833,0.07116869409528576,0.016539542004466057,0.11272136808432705
22,0.10402159699800047,0.13891560766190314,0.4012576700562108,0.10983066162923827,0.9571729398121799,0.6902854059734483,0.027261018753051758,0.08801116718210443,0.9777259378537645,0.06639702323845316,0.027261018753051758,0.100163645123865
