epoch,loss,val_loss,val_x_pred_categorical_accuracy,val_x_pred_loss,val_x_pred_vae_anneal_metric,val_z_mean_log_var_loss,x_pred_categorical_accuracy,x_pred_loss,x_pred_vae_anneal_metric,z_mean_log_var_loss
0,1.2731024186982527,6.727084771551267,0.5826354147207857,6.727084294714109,3.7017207432654686e-07,0.8296976721648014,0.5990922709056608,1.2731020642995297,3.7017207432654686e-07,0.943564570111561
1,0.684126525040943,4.815940741336707,0.7012091002078972,4.815940264499549,6.168544928186748e-07,0.854896483397243,0.7727543650443075,0.6841259289944952,6.168544928186748e-07,0.9705198722687586
2,0.5104695368499303,4.010446863945084,0.7511836398731578,4.010445915087305,1.0279256912326673e-06,0.8428229954507616,0.8268081897672089,0.510468576179132,1.0279256912326673e-06,0.9422180121154872
3,0.4266786134673564,3.584536733049335,0.7776033023391107,3.5845353025378603,1.7129339084931416e-06,0.8273700861015705,0.8523080805758052,0.4266770572883012,1.7129339084931416e-06,0.9087380125748654
4,0.3712600345805321,3.2435658965447938,0.7987626092602508,3.2435636086897417,2.8544293400045717e-06,0.799964220234842,0.8692741967216302,0.3712575165870227,2.8544293400045717e-06,0.8821341477452228
5,0.33009503105693155,2.9172270707409793,0.8190094286745245,2.9172234342555807,4.756610906042624e-06,0.7659087927654536,0.881967233144941,0.3300909960041197,4.756610906042624e-06,0.8482625174334033
6,0.29786278801900806,2.6655669332754734,0.8346207196062262,2.665561090816151,7.92639002611395e-06,0.7359952950718427,0.8921971715330809,0.2978563986836384,7.92639002611395e-06,0.8060360704937584
7,0.27855524913519286,2.475892510076966,0.8463863688285904,2.475883238243334,1.3208464224589989e-05,0.7026813024222248,0.8986456495779094,0.2785450669665638,1.3208464224589989e-05,0.7708619117198625
8,0.2503834048256648,2.4569719487970527,0.8475652903017371,2.4569572728089613,2.2010388420312665e-05,0.6668468737843061,0.9078188443022441,0.25036745511718583,2.2010388420312665e-05,0.7246469409955544
9,0.23546475992784005,2.118707228188563,0.868550115763539,2.1186838402892603,3.66775639122352e-05,0.637501764779139,0.9129539675018319,0.23543939102045838,3.66775639122352e-05,0.6916715640650377
10,0.21563030104941225,2.043738943157774,0.873204499182075,2.043702017177235,6.111799302743748e-05,0.6040875821402578,0.9199314772006352,0.21559007035286648,6.111799302743748e-05,0.6582432979251138
11,0.2090104594994883,1.8852112702649049,0.8830390729085363,1.8851494211139102,0.0001018428520183079,0.6072212367346792,0.9222296496546295,0.20894405055732276,0.0001018428520183079,0.6520715308108663
12,0.19082571184325703,1.8084780917023167,0.8878042794237233,1.8083813840692693,0.00016969938587862998,0.5698363552189837,0.9287906246045373,0.19072123374747907,0.00016969938587862998,0.6156659508397294
13,0.198270579610802,1.7549257133946274,0.8911311975633255,1.7547577739966036,0.0002827550342772156,0.5939592068845575,0.9265525211868114,0.19809073589859913,0.0002827550342772156,0.6360405645844092
14,0.1698591787006462,1.6179383692115243,0.8996335894170434,1.6176774333221744,0.0004710941284429282,0.5538920061756866,0.9363780462984038,0.16957422001098132,0.0004710941284429282,0.6048869009615336
15,0.16447217750697318,1.6205555188535439,0.8994826885184857,1.6201476942409168,0.0007847847300581634,0.5196664700604449,0.9383273970327313,0.16402571638268218,0.0007847847300581634,0.5688967605207629
16,0.15198364984202062,1.4770871942693538,0.9083977046639028,1.4764546553293865,0.0013070814311504364,0.4839350403559328,0.9430623223361797,0.15129338047608026,0.0013070814311504364,0.5280998864507568
17,0.148429010467053,1.4306521536123873,0.9113002076293483,1.4296717463117656,0.002176224486902356,0.45050919477385704,0.9444370633054264,0.14736754943366515,0.002176224486902356,0.48775350902877057
18,0.15034967132804086,1.3633029159873422,0.9155160333171035,1.3617206462705977,0.0036212082486599684,0.4369449835233014,0.9443551262937335,0.14864325163461284,0.0036212082486599684,0.4712293608194011
19,0.13406962469960174,1.3772301818385269,0.9146955043378503,1.3749460246827867,0.00601985352113843,0.3794371717505985,0.9503198895039999,0.131490857350907,0.00601985352113843,0.4283770885881936
20,0.1330513411094319,1.2429191307588057,0.9230870761052526,1.239689882355507,0.009991399943828583,0.3232027469861387,0.9512153965490397,0.1293529399899812,0.009991399943828583,0.3701584598482597
21,0.14469424968177524,1.2896578010886606,0.9202859558240332,1.2848386042045825,0.016539542004466057,0.2913742492897342,0.9481152455505345,0.13936356170014658,0.016539542004466057,0.32229962309246407
22,0.14154838206368428,1.2274202963318488,0.9242400599248481,1.221067928304576,0.027261018753051758,0.23302019169234267,0.9500948934738038,0.13393966890619247,0.027261018753051758,0.27910596769698315
23,0.12443380520319562,1.156768762704098,0.9286963921604734,1.1492784077470952,0.04461720213294029,0.16788046077044325,0.9566687809021693,0.11495190564517781,0.04461720213294029,0.21251667992256026
24,0.13165154675564164,1.1308098874910912,0.9304199754589736,1.1214974944037621,0.07220327854156494,0.1289746498670241,0.9548577459079148,0.11999867707659105,0.07220327854156494,0.1613897588734702
25,0.1358662512800898,1.1963237499949908,0.9265979094938799,1.1831019635152336,0.1147959753870964,0.11517643153366416,0.9546461884378041,0.12049467656467085,0.1147959753870964,0.13390342781055323
26,0.142844817851319,1.1547087852400963,0.9294485443770283,1.1371551499222263,0.17770178616046906,0.09878139860100216,0.9544267235302764,0.12124067197635803,0.17770178616046906,0.12157528689362394
